ok,ms,status,grok_proxy,raw,error
0,1166,,http://104.36.236.101:8080,http://104.36.236.101:8080,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,1252,,http://49.51.244.112:8888,http://49.51.244.112:8888,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,1277,,http://34.43.46.91:80,http://34.43.46.91:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,1277,,http://12.50.107.222:80,http://12.50.107.222:80,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,1370,,http://165.138.86.202:8080,http://165.138.86.202:8080,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,1373,,http://50.205.246.13:8080,http://50.205.246.13:8080,"proxy_error:HTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded with u…"
0,2775,,socks4://147.45.60.249:1081,socks4://147.45.60.249:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,2811,,socks5://147.45.60.250:1082,socks5://147.45.60.250:1082,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,2873,,http://47.253.201.85:7890,http://47.253.201.85:7890,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,2883,,http://216.106.179.216:49159,http://216.106.179.216:49159,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,2942,,http://13.57.201.202:80,http://13.57.201.202:80,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,2985,,http://108.170.12.11:80,http://108.170.12.11:80,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,2987,,http://67.203.23.79:8081,http://67.203.23.79:8081,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,3006,,http://45.32.69.101:9000,http://45.32.69.101:9000,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,3020,,http://209.145.54.41:3129,http://209.145.54.41:3129,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
